no,name,score
202420001,알고리즘 분석,1
202510002,서양미술의 이해,2
202620003,미시경제학,3
202610004,심리학 개론,2
202410005,운영체제론,3
202410006,마케팅 원론,3
202420007,기구학,2
202610008,자바 프로그래밍,2
202620009,디지털 논리회로,1
202520010,매체 비평,3
202420011,생화학,3
202520012,거시경제학,1
202420013,동양 철학의 이해,2
202510014,데이터 구조,3
202420015,인공지능 개론,3
202620016,회계원리,2
202410017,글로벌 리더십,2
202610018,창의적 사고,2
202610019,네트워크 보안,1
202410020,데이터베이스 기초,2
202520021,알고리즘 분석 II,3
202610022,서양미술의 이해 II,2
202610023,미시경제학 II,2
202610024,심리학 개론 II,2
202520025,운영체제론 II,1
202620026,마케팅 원론 II,3
202610027,기구학 II,3
202410028,자바 프로그래밍 II,2
202610029,디지털 논리회로 II,1
202410030,매체 비평 II,2
