student_no,course_no,grade
26770109,202610008,C+
26660027,202520012,C0
26340077,202610004,D+
25510064,202610024,C+
24580116,202410028,B0
25370075,202410005,B0
24310155,202510002,A0
26210153,202420015,B+
26340077,202610019,C0
25980138,202410028,C0
24770179,202610004,B+
26980086,202410006,D+
26230040,202420011,B+
24760038,202520025,A0
25700025,202610008,A0
26440099,202520021,C0
25700164,202510002,C0
24280187,202610029,B+
26660133,202410005,A+
25260098,202410017,D+
26650003,202410030,C0
26250131,202520025,C+
25700164,202520010,B+
24800026,202620009,C0
25520189,202410005,B+
25510064,202610008,C+
24460114,202610024,A+
25740059,202620026,A0
26530108,202520012,C0
24440110,202510002,C0
25230076,202410028,A+
24390146,202410020,D+
24230081,202420015,B0
26290020,202420013,B+
25700164,202410017,C0
24220107,202520021,A+
25760056,202420007,F
26150061,202520025,F
24630016,202420001,D+
24950024,202420001,A+
24270134,202410005,A0
25310193,202610027,D+
26240188,202620016,C0
25630031,202420013,D+
25380136,202510002,B0
26980086,202510014,C+
25440125,202620016,B+
26980086,202420001,C+
24580116,202420001,C+
26380128,202610004,C0
24720178,202620016,F
25190039,202420001,D+
25230076,202610008,A0
24770179,202610024,B0
25280058,202420007,A0
26430084,202610019,D+
24310129,202420007,C+
25490067,202410006,C0
24390198,202410005,A0
26860122,202620003,A+
25150145,202520025,B+
25760056,202620026,B0
25800047,202620016,D+
24390012,202410028,F
25260098,202510014,D+
24230186,202510002,F
24740011,202520025,A0
24210161,202610022,A+
25860065,202420013,C+
24510087,202610019,C0
24800144,202610023,C0
25960089,202510014,A+
25470111,202520012,C0
25800047,202620009,C0
25160181,202620003,D+
25800047,202510002,C0
26420013,202410020,B+
24870074,202410017,B0
24840149,202610019,C+
24100150,202510002,A0
24460147,202610004,A+
26810102,202410030,D+
25700025,202410017,C+
24980175,202410006,D+
26660133,202420001,C0
24390146,202520012,A+
24440110,202610024,C0
24280187,202620026,C0
25440019,202610029,A+
26270197,202410005,A+
24220183,202620016,B0
24510087,202410030,A+
26870200,202620016,C+
24320052,202510002,D+
26340106,202410020,C0
26610046,202420007,C0
25610001,202610008,F
24920018,202610022,A0
24980175,202620016,D+
24490121,202610027,C+
24120063,202610024,D+
24410140,202620009,F
24190095,202620003,F
26980086,202410030,C0
26610046,202610008,C+
24780042,202520010,A0
25310193,202410028,A+
24760038,202610029,A+
25260098,202520010,A0
24190095,202520010,F
24650036,202510014,F
26340106,202420013,B+
26340106,202610019,B0
24790037,202610024,C+
25510002,202620026,B+
26230105,202510014,B0
26250131,202610008,B0
25230076,202410017,F
26690158,202420001,F
24950004,202610027,B+
26670141,202420007,A0
25490126,202620016,C0
24780042,202610008,C+
26300191,202520025,A+
25270045,202410030,B+
24950004,202620026,F
26690158,202410005,C+
25380136,202620003,A+
25490152,202520025,A0
25580007,202510014,C0
24310129,202410030,A0
25520189,202520010,A+
24650010,202420001,B+
26800035,202520021,A+
24310155,202420013,B+
24900060,202520021,B+
25190176,202610023,F
26110154,202420015,C+
25810194,202620009,A+
26570068,202520021,B+
25630051,202410028,F
25510093,202520012,D+
26570068,202520025,A0
25310193,202610004,F
26380128,202520021,F
26380057,202620009,C0
26810014,202420001,F
24130143,202420001,A0
26440099,202620003,C0
26870200,202620026,A+
24480170,202610023,B0
26850080,202510014,D+
25370151,202520021,B+
24120071,202410020,B+
24310155,202610024,B+
24300101,202620003,A0
24390012,202410017,C0
24400130,202610022,A0
26990171,202620003,C0
25260098,202420013,D+
24630005,202520025,F
25640030,202510014,B+
26410017,202410006,B+
25290078,202620016,A+
26730142,202520025,F
26120167,202620009,B0
25990163,202620016,F
24100172,202610024,C+
26980086,202610004,C0
25520148,202410020,B0
24210161,202520021,A+
26100097,202410030,A+
25270045,202410005,F
25580007,202610023,C+
26400184,202410006,A0
26400184,202420001,D+
24310129,202520021,F
26810014,202510014,B0
26570068,202410017,C0
26650003,202610019,A+
26990171,202620009,B+
26670141,202610029,F
24360079,202610024,C+
26230040,202610024,F
26300191,202620009,D+
26400184,202610019,A+
25760056,202410028,C+
26430084,202610008,A0
24630005,202420007,C+
25370151,202520012,B+
24220113,202410030,D+
26110154,202610022,F
24100172,202520010,A0
24720178,202610019,B0
25260098,202610019,B+
24490121,202610019,D+
25440019,202510014,B0
25120195,202420013,C+
25610001,202620026,C+
24450177,202610024,D+
25820066,202520010,C0
26660133,202610019,C0
24100172,202410017,C0
24600049,202610029,A0
25700164,202610018,A0
24130143,202420013,F
24870074,202510014,C0
25510093,202620016,A0
26650003,202620003,C+
24580116,202410005,A+
25270045,202420013,B+
24280187,202420015,B+
24310155,202610027,B0
25520148,202410005,A+
24800026,202520010,B0
24300101,202410017,B0
24580116,202620026,A0
26660133,202510002,C+
24800026,202420015,C+
24410140,202610027,A0
25630051,202610027,A0
24900060,202520010,D+
24900060,202410006,B+
24330028,202610004,B+
25260098,202620026,D+
24560054,202420015,F
24320052,202420011,C0
25150120,202520010,C+
25230076,202520021,F
24210073,202610029,B+
24780042,202410028,C+
24900060,202520025,A0
25500174,202410030,C0
24280137,202610024,B+
24680115,202420007,A+
24210073,202610022,B+
26500083,202610022,C+
24950004,202420001,A+
25670185,202420013,B0
25580007,202620003,D+
24220183,202620026,C0
24800026,202410006,B0
